uri,name,release-date,duration,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,isRetro
5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,482830,1971-11-08,0.338,0.34,9,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,4,False
2uuMXKKmdXrY2XxsqTsGp0,Immigrant Song - Remaster,146746,2007,0.567,0.931,11,-10.361,0.0544,0.0119,0.159,0.342,0.623,112.948,4,False
2E64SWjM9rQmAshItmdbcw,Communication Breakdown - Remaster,150200,1969-01-12,0.375,0.956,2,-7.078,0.175,0.144,7.6e-06,0.417,0.381,175.04,4,False
5cWIRgigrzjTjDBNXQxhAR,Travelling Riverside Blues - 29/6/69 Top Gear;Remaster,310906,2016-09-16,0.476,0.78,7,-9.009,0.0564,0.177,0.00308,0.26,0.634,91.609,4,False
3i25w2HOWoafnTIiWJCL71,Fool in the Rain - Remaster,370920,1979-08-15,0.52,0.912,0,-7.512,0.0487,0.124,0.00151,0.239,0.702,131.403,4,False
1oCOp1kVAgNlXX9Tx9mvzq,Ramble On - Remaster,274009,1969-10-22,0.456,0.549,4,-13.111,0.0343,0.186,0.00227,0.0877,0.834,98.583,4,False
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,333893,1969-10-22,0.412,0.902,9,-11.6,0.405,0.0484,0.131,0.405,0.422,89.74,4,False
5G7uLHtoEW140QOcBpJlfz,What Is and What Should Never Be - 1990 Remaster,283973,1969-10-22,0.34,0.472,9,-12.939,0.0473,0.275,0,0.0843,0.533,78.086,4,False
1dK6cNOMYjEP3QGYOfwP6t,Bron-Y-Aur Stomp - Remaster,257346,1970,0.525,0.501,1,-14.192,0.0318,0.16,0.025,0.146,0.333,108.291,4,False
0QwZfbw26QeUoIy82Z2jYp,Good Times Bad Times - 1993 Remaster,166266,1969-01-12,0.476,0.717,9,-9.192,0.0949,0.0382,7.61e-05,0.0818,0.753,93.584,4,False
6lrh9jZ1xoMwoErgPSj2rY,All My Love - 1990 Remaster,351266,1979-08-15,0.599,0.744,7,-8.72,0.0316,0.131,0.00275,0.0795,0.723,91.259,4,False
4ZkhFcoS3apzze9w2yI9NO,Thank You - 1990 Remaster,289466,1969-10-22,0.316,0.27,7,-14.429,0.059,0.171,0.00225,0.165,0.0956,78.476,4,False
3JLrri1xSCui3bzITDJbkk,The Rain Song - Remaster,459093,1973-03-28,0.336,0.318,0,-11.412,0.0263,0.317,0.0716,0.111,0.24,79.66,4,False
